node_id,tier,location,node_type,management_zone,crop_focus,criticality,power_source,sensor_type
FarmHQ_Server,L0,Farm_Office,Farm_Management_System,Entire_Farm,All_Crops,Mission_Critical,Grid_Backup_Solar,
L1N_01,L1,Main_Storage_Barn,Field_Coordinator,Entire_Farm,All_Crops,Ultra_High,Solar_Diesel_Hybrid,
L2N_01,L2,Cereal_Belt_Control,Zone_Supervisor,Cereal_Belt,Cereal,High,Solar_Battery,
L2N_02,L2,Rootcrop_Zone_Control,Zone_Supervisor,Rootcrop_Zone,Rootcrop,High,Solar_Battery,
L2N_03,L2,Vegetable_Belt_Control,Zone_Supervisor,Vegetable_Belt,Vegetable,High,Solar_Battery,
L2N_04,L2,Treecrop_Zone_Control,Zone_Supervisor,Treecrop_Zone,Treecrop,High,Solar_Battery,
L3N_01,L3,Sorghum_Field,Field_Unit,Cereal_Belt,Sorghum,Medium,Solar_Only,
L3N_02,L3,Millet_Field,Field_Unit,Cereal_Belt,Millet,Medium,Solar_Only,
L3N_03,L3,Maize_Field,Field_Unit,Cereal_Belt,Maize,Medium,Solar_Only,
L3N_04,L3,Cassava_Plot,Field_Unit,Rootcrop_Zone,Cassava,Medium,Solar_Only,
L3N_05,L3,Yam_Mound,Field_Unit,Rootcrop_Zone,Yam,Medium,Solar_Only,
L3N_06,L3,SweetPotato_Bed,Field_Unit,Rootcrop_Zone,SweetPotato,Medium,Solar_Only,
L3N_07,L3,Tomato_Plot,Field_Unit,Vegetable_Belt,Tomato,Medium,Solar_Only,
L3N_08,L3,Pepper_Field,Field_Unit,Vegetable_Belt,Pepper,Medium,Solar_Only,
L3N_09,L3,Onion_Beds,Field_Unit,Vegetable_Belt,Onion,Medium,Solar_Only,
L3N_10,L3,OilPalm_Grove,Field_Unit,Treecrop_Zone,OilPalm,Medium,Solar_Only,
L3N_11,L3,Cocoa_Plot,Field_Unit,Treecrop_Zone,Cocoa,Medium,Solar_Only,
L3N_12,L3,Plantation,Field_Unit,Treecrop_Zone,Plantation,Medium,Solar_Only,
L4N_01,L4,Sorghum_Crop_Canopy,Field_Sensor,Cereal_Belt,Sorghum,Standard,Battery_Solar,Nutrient_Level
L4N_02,L4,Sorghum_Fertilizer_Node,Field_Sensor,Cereal_Belt,Sorghum,Standard,Battery_Solar,Growth_Monitor
L4N_03,L4,Sorghum_Irrigation_Point,Field_Sensor,Cereal_Belt,Sorghum,Standard,Battery_Solar,Disease_Alert
L4N_04,L4,Millet_Weather_Station,Field_Sensor,Cereal_Belt,Millet,Standard,Battery_Solar,Rain_Gauge
